"Title","URL","Description","h1 headings","h1 count","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"СКАЗКИ НА НОЧЬ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/skazki-na-noch/","","Сказки на ночь","1","","","","69","0","0.9943 s","56kb","53","242","","1898","","","https://s-t-o-l.com/special_projects/skazki-na-noch/","18","1218 kb","1","61","10","0"
"Автор Владимир Тихомиров - Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/author/tikhomirov/","","Владимир Тихомиров","1","","","","58","0","7.1241 s","56kb","54","244","","56","","","https://s-t-o-l.com/author/tikhomirov/","17","943 kb","1","61","10","0"
"СТОЛ СПРАВОК - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/stol-spravok/","","Стол справок","1","","","","67","0","0.8204 s","56kb","53","220","","1973","","","https://s-t-o-l.com/special_projects/stol-spravok/","18","1086 kb","1","61","10","0"
"СТУДЕНТЫ РЕВОЛЮЦИИ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/studentyrevolutsii/","","Студенты революции","1","","","","73","0","0.8455 s","56kb","53","215","","1945","","","https://s-t-o-l.com/special_projects/studentyrevolutsii/","18","829 kb","1","61","10","0"
"ЦВЕТ НАСТРОЕНИЯ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/tsvet-nastroeniya/","","Цвет настроения","1","","","","70","0","1.0389 s","56kb","53","220","","1898","","","https://s-t-o-l.com/special_projects/tsvet-nastroeniya/","18","1135 kb","1","61","10","0"
"Православное братство в современной России: реальность невозможного - Медиапроект s-t-o-l.com","https://s-t-o-l.com/event/pravoslavnoe-bratstvo-v-sovremennoj-rossii-realnost-nevozmozhnogo/","","Православное братство в современной России: реальность невозможного","1","","","","93","0","1.0962 s","54kb","67","359","","953","","","https://s-t-o-l.com/event/pravoslavnoe-bratstvo-v-sovremennoj-rossii-realnost-nevozmozhnogo/","26","1762 kb","1","71","22","0"
"ФОТОПРОЕКТ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/fotoproekt/","","Фотопроект","1","","","","65","0","1.7931 s","55kb","53","202","","2041","","","https://s-t-o-l.com/special_projects/fotoproekt/","18","1090 kb","1","61","10","0"
"Молитва памяти - Медиапроект s-t-o-l.com","https://s-t-o-l.com/event/molitva-pamyati-2/","","Молитва памяти","1","","","","40","0","3.7439 s","62kb","69","952","","954","","","https://s-t-o-l.com/event/molitva-pamyati-2/","25","210 kb","1","71","23","0"
"Задержан стрелявший в православного священника в Лионе - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/zaderzhan-strelyavshij-v-pravoslavnogo-svyashhennika-v-lione/","","Задержан стрелявший в православного священника в Лионе","1","","","","80","0","3.1993 s","54kb","68","315","","125","","","https://s-t-o-l.com/novost/zaderzhan-strelyavshij-v-pravoslavnogo-svyashhennika-v-lione/","25","208 kb","1","72","21","0"
"Псковичи не согласны с советским названием своего сквера - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/pskovichi-ne-soglasny-s-sovetskim-nazvaniem-svoego-skvera/","","Псковичи не согласны с советским названием своего сквера","1","","","","82","0","3.4050 s","54kb","69","317","","125","","","https://s-t-o-l.com/novost/pskovichi-ne-soglasny-s-sovetskim-nazvaniem-svoego-skvera/","25","208 kb","1","72","22","0"
"Численность аспирантов сократилась вдвое за десять лет - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/chislennost-aspirantov-sokratilas-vdvoe-za-desyat-let/","","Численность аспирантов сократилась вдвое за десять лет","1","","","","80","0","3.3924 s","53kb","68","295","","125","","","https://s-t-o-l.com/novost/chislennost-aspirantov-sokratilas-vdvoe-za-desyat-let/","25","208 kb","1","72","21","0"
"Людей раздражает, когда им навязывают экологически сознательное поведение - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/lyudej-razdrazhaet-kogda-im-navyazyvayut-ekologicheski-soznatelnoe-povedenie/","","Людей раздражает, когда им навязывают экологически сознательное поведение","1","","","","99","0","2.6653 s","54kb","69","344","","124","","","https://s-t-o-l.com/novost/lyudej-razdrazhaet-kogda-im-navyazyvayut-ekologicheski-soznatelnoe-povedenie/","24","206 kb","1","71","22","0"
"Почти половина россиян не планирует заводить детей - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/pochti-polovina-rossiyan-ne-planiruet-zavodit-detej/","","Почти половина россиян не планирует заводить детей","1","","","","76","0","2.9467 s","53kb","69","298","","125","","","https://s-t-o-l.com/novost/pochti-polovina-rossiyan-ne-planiruet-zavodit-detej/","25","208 kb","1","72","22","0"
"Архив Материалы - Страница 2 из 282 - Медиапроект s-t-o-l.com Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/page/2/","","Материалы","1","","","","93","0","2.9079 s","60kb","54","304","","1","","","https://s-t-o-l.com/%25teg%25/page/2/","20","1171 kb","1","64","10","0"
"ГОСУДАРСТВО И ЧЕЛОВЕК - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/gosudarstvo-i-chelovek/page/2/","","Государство и человек","1","","","","76","0","1.4269 s","59kb","50","280","55","1","","","https://s-t-o-l.com/gosudarstvo-i-chelovek/page/2/","18","1118 kb","2","58","10","0"
"СТАТЬЯ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/statya/page/2/","","статья","1","","","","61","0","6.3486 s","58kb","49","267","","1","","","https://s-t-o-l.com/statya/page/2/","18","1024 kb","2","57","10","0"
"КУЛЬТУРА - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/kultura/page/2/","","Культура","1","","","","63","0","4.5578 s","59kb","53","269","","1","","","https://s-t-o-l.com/kultura/page/2/","18","1099 kb","2","61","10","0"
"СЛОВАРЬ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/slovar/page/2/","","Словарь","1","","","","62","0","12.9537 s","57kb","49","219","","1","","","https://s-t-o-l.com/slovar/page/2/","18","1094 kb","2","57","10","0"
"ИСТОРИЯ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/istoriya/page/2/","","История","1","","","","62","0","1.6590 s","59kb","52","279","44","1","","","https://s-t-o-l.com/istoriya/page/2/","17","1139 kb","2","59","10","0"
"ОБРАЗОВАНИЕ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/obrazovanie/page/2/","","Образование","1","","","","66","0","7.4343 s","59kb","50","294","","1","","","https://s-t-o-l.com/obrazovanie/page/2/","18","1067 kb","2","58","10","0"
"СТОЛ НЕДЕЛИ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/stol-nedeli/page/2/","","Стол недели","1","","","","66","0","10.0234 s","58kb","52","225","","1","","","https://s-t-o-l.com/stol-nedeli/page/2/","15","886 kb","2","57","10","0"
"ЦЕРКОВЬ И ОБЩЕСТВО - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/tserkov-i-obshhestvo/page/2/","","Церковь и общество","1","","","","73","0","6.5468 s","59kb","52","276","44","1","","","https://s-t-o-l.com/tserkov-i-obshhestvo/page/2/","18","997 kb","2","60","10","0"
"Продолженное прошлое - Медиапроект s-t-o-l.com","https://s-t-o-l.com/event/prodolzhennoe-proshloe/","","Продолженное прошлое","1","","","","46","0","12.0770 s","54kb","66","362","","2","","","https://s-t-o-l.com/event/prodolzhennoe-proshloe/","26","262 kb","2","71","21","0"
"Местами память: от Соловецкого камня к Стене скорби - Медиапроект s-t-o-l.com","https://s-t-o-l.com/event/mestami-pamyat-ot-solovetskogo-kamnya-k-stene-skorbi/","","Местами память: от Соловецкого камня к Стене скорби","1","","","","77","0","12.9342 s","53kb","66","301","","1","","","https://s-t-o-l.com/event/mestami-pamyat-ot-solovetskogo-kamnya-k-stene-skorbi/","27","316 kb","2","71","22","0"
"АРХЕОЛОГИЧЕСКИЕ РАСКОПКИ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/arheologicheskie-raskopki/","","археологические раскопки","1","","","","79","0","6.6061 s","48kb","45","163","","2","","","https://s-t-o-l.com/arheologicheskie-raskopki/","5","233 kb","2","40","10","0"
"Архив События - Страница 2 из 9 - Медиапроект s-t-o-l.com Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/events/page/2/","","События","1","","","","89","0","8.9910 s","58kb","52","239","","1","","","https://s-t-o-l.com/event/page/2/","16","802 kb","2","58","10","0"
"Церковь-крематорий и Донское кладбище: памятник под угрозой реновации - Медиапроект s-t-o-l.com","https://s-t-o-l.com/event/tserkov-krematorij-i-donskoe-kladbishhe-pamyatnik-pod-ugrozoj-renovatsii/","","Церковь-крематорий и Донское кладбище: памятник под угрозой реновации","1","","","","95","0","12.7818 s","54kb","66","334","","1","","","https://s-t-o-l.com/event/tserkov-krematorij-i-donskoe-kladbishhe-pamyatnik-pod-ugrozoj-renovatsii/","26","313 kb","2","70","22","0"
"АРХЕОЛОГИЯ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/arheologiya/","","археология","1","","","","65","0","3.0842 s","48kb","45","164","","1","","","https://s-t-o-l.com/arheologiya/","5","204 kb","2","40","10","0"
"РАСКОПКИ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/raskopki/","","раскопки","1","","","","63","0","2.9214 s","48kb","45","164","","1","","","https://s-t-o-l.com/raskopki/","5","204 kb","2","40","10","0"
"XX ВЕК - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/xx-vek/","","XX век","1","","","","61","0","1.2105 s","56kb","52","264","26","7","","","https://s-t-o-l.com/xx-vek/","16","1023 kb","2","58","10","0"
"КРОНШТАДТ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/kronshtadt/","","Кронштадт","1","","","","64","0","2.0363 s","49kb","49","170","","2","","","https://s-t-o-l.com/kronshtadt/","6","236 kb","2","45","10","0"
"РЕПРЕССИИ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/repressii/","","репрессии","1","","","","64","0","2.9753 s","55kb","49","264","","2","","","https://s-t-o-l.com/repressii/","17","988 kb","2","56","10","0"
"ТЕРРОР - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/terror/","","террор","1","","","","61","0","3.0693 s","47kb","46","143","","1","","","https://s-t-o-l.com/terror/","3","38 kb","2","39","10","0"
"ГРАЖДАНСКАЯ ВОЙНА - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/grazhdanskaya-vojna/","","гражданская война","1","","","","72","0","3.7714 s","56kb","53","273","","1","","","https://s-t-o-l.com/grazhdanskaya-vojna/","17","1106 kb","2","60","10","0"
"МЯТЕЖ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/myatezh/","","мятеж","1","","","","60","0","8.5189 s","47kb","46","143","","1","","","https://s-t-o-l.com/myatezh/","3","38 kb","2","39","10","0"
"100 ЛЕТ НАЗАД - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/100-let-nazad/page/2/","","100 лет назад","1","","","","68","0","0.8668 s","59kb","57","295","","1","","","https://s-t-o-l.com/special_projects/100-let-nazad/page/2/","18","1350 kb","2","65","10","0"
"S-ТОЛКОМ О ЦЕРКВИ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/s-tolcom-o-tserkvi/page/2/","","s-толком о церкви","1","","","","72","0","9.6582 s","60kb","57","317","","1","","","https://s-t-o-l.com/special_projects/s-tolcom-o-tserkvi/page/2/","18","1175 kb","2","65","10","0"
"Автор Оксана Прилепина - Страница 2 из 3 Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/author/prilepina/page/2/","","Оксана Прилепина","1","","","","72","0","4.5100 s","58kb","50","263","","1","","","https://s-t-o-l.com/author/prilepina/page/2/","19","973 kb","2","59","10","0"
"ГЛАВРЕД ГОВОРИТ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/glavred-govorit/page/2/","","Главред говорит","1","","","","70","0","10.0434 s","60kb","57","295","","1","","","https://s-t-o-l.com/special_projects/glavred-govorit/page/2/","18","954 kb","2","65","10","0"
"КАЛЕНДАРЬ «СТОЛА» - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/kalendar-stola/page/2/","","Календарь «Стола»","1","","","","72","0","3.0116 s","60kb","57","292","","1","","","https://s-t-o-l.com/special_projects/kalendar-stola/page/2/","18","1082 kb","2","65","10","0"
"РУССКИЕ КАРТИНКИ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/russkie-kartinki/page/2/","","Русские картинки","1","","","","71","0","7.4469 s","59kb","57","274","","1","","","https://s-t-o-l.com/special_projects/russkie-kartinki/page/2/","18","1497 kb","2","65","10","0"
"СКАЗКИ НА НОЧЬ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/skazki-na-noch/page/2/","","Сказки на ночь","1","","","","69","0","5.3810 s","56kb","54","237","","1","","","https://s-t-o-l.com/special_projects/skazki-na-noch/page/2/","14","883 kb","2","58","10","0"
"Автор Владимир Тихомиров - Страница 2 из 66 Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/author/tikhomirov/page/2/","","Владимир Тихомиров","1","","","","75","0","6.5309 s","59kb","55","261","","1","","","https://s-t-o-l.com/author/tikhomirov/page/2/","19","1215 kb","2","64","10","0"
"СТОЛ СПРАВОК - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/stol-spravok/page/2/","","Стол справок","1","","","","67","0","6.0291 s","59kb","57","267","","1","","","https://s-t-o-l.com/special_projects/stol-spravok/page/2/","18","993 kb","2","65","10","0"
"СТУДЕНТЫ РЕВОЛЮЦИИ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/studentyrevolutsii/page/2/","","Студенты революции","1","","","","73","0","6.9117 s","60kb","57","298","","1","","","https://s-t-o-l.com/special_projects/studentyrevolutsii/page/2/","18","946 kb","2","65","10","0"
"Автор Наталья Афанасьева - Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/author/afanaseva/","","Наталья Афанасьева","1","","","","58","0","4.3124 s","56kb","46","264","","3","","","https://s-t-o-l.com/author/afanaseva/","18","1063 kb","2","54","10","0"
"ЦВЕТ НАСТРОЕНИЯ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/tsvet-nastroeniya/page/2/","","Цвет настроения","1","","","","70","0","7.7949 s","54kb","52","202","","1","","","https://s-t-o-l.com/special_projects/tsvet-nastroeniya/page/2/","10","571 kb","2","52","10","0"
"Автор Редакция медиапроекта «Стол» - Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/author/redakcia/","","Редакция медиапроекта «Стол»","1","","","","68","0","8.7855 s","55kb","46","202","","348","","","https://s-t-o-l.com/author/redakcia/","17","986 kb","2","53","10","0"
"УЧЕНЫЕ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/uchenye/","","ученые","1","","","","61","0","2.3777 s","47kb","44","141","","1","","","https://s-t-o-l.com/uchenye/","4","143 kb","2","38","10","0"
"КОВАЛЕВСКАЯ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/kovalevskaya/","","Ковалевская","1","","","","66","0","4.8221 s","46kb","44","126","","1","","","https://s-t-o-l.com/kovalevskaya/","2","4 kb","2","36","10","0"
"Стол матери Марии - Медиапроект s-t-o-l.com","https://s-t-o-l.com/stol-nedeli/stol-materi-marii/","","Стол матери Марии","1","","","","43","0","6.5972 s","61kb","75","532","","7","","","https://s-t-o-l.com/stol-nedeli/stol-materi-marii/","49","5352 kb","2","103","21","0"
"Автор Ирина Чумакова - Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/author/chumakova/","","Ирина Чумакова","1","","","","54","0","6.6396 s","55kb","46","238","","8","","","https://s-t-o-l.com/author/chumakova/","18","886 kb","2","54","10","0"
"ФОТОПРОЕКТ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/special_projects/fotoproekt/page/2/","","Фотопроект","1","","","","65","0","9.1793 s","59kb","57","238","","1","","","https://s-t-o-l.com/special_projects/fotoproekt/page/2/","18","1037 kb","2","65","10","0"
"Автор Алина Гарбузняк - Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/author/alinka/","","Алина Гарбузняк","1","","","","55","0","6.8031 s","55kb","45","234","","87","","","https://s-t-o-l.com/author/alinka/","19","993 kb","2","54","10","0"
"ПОЛИТИКА - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/politika/","","политика","1","","","","63","0","8.1860 s","55kb","46","235","","2","","","https://s-t-o-l.com/politika/","18","1026 kb","2","54","10","0"
"Автор Ольга Солодовникова - Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/author/olga/","","Ольга Солодовникова","1","","","","59","0","5.1157 s","55kb","45","247","","69","","","https://s-t-o-l.com/author/olga/","19","1090 kb","2","54","10","0"
"Доллар за 77 рублей - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/dollar-za-77-rublej/","","Доллар за 77 рублей","1","","","","45","0","5.3749 s","52kb","69","241","","3","","","https://s-t-o-l.com/novost/dollar-za-77-rublej/","25","217 kb","2","72","22","0"
"США - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/ssha/","","США","1","","","","58","0","11.7660 s","55kb","46","240","","1","","","https://s-t-o-l.com/ssha/","18","1225 kb","2","54","10","0"
"Губернатор от оппозиции задержан по подозрению в организации убийств - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/gubernator-ot-oppozitsii-zaderzhan-po-podozreniyu-v-organizatsii-ubijstv/","","Губернатор от оппозиции задержан по подозрению в организации убийств","1","","","","94","0","6.4976 s","54kb","68","312","","58","","","https://s-t-o-l.com/novost/gubernator-ot-oppozitsii-zaderzhan-po-podozreniyu-v-organizatsii-ubijstv/","24","206 kb","2","71","21","0"
"Автор Софья Рудакова - Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/author/tararabum/","","Софья Рудакова","1","","","","54","0","10.1994 s","53kb","53","180","","3946","","","https://s-t-o-l.com/author/tararabum/","3","95 kb","2","46","10","0"
"Фейерверки токсичны - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/fejerverki-toksichny/","","Фейерверки токсичны","1","","","","45","0","8.9276 s","52kb","69","265","","59","","","https://s-t-o-l.com/novost/fejerverki-toksichny/","25","217 kb","2","72","22","0"
"Архив Материалы - Страница 2 из 282 - Медиапроект s-t-o-l.com Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/%25teg%25/page/2/","","Материалы","1","","","","93","0","9.9304 s","60kb","52","304","","2","","","https://s-t-o-l.com/%25teg%25/page/2/","20","1171 kb","2","62","10","0"
"Доказательство воды - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/dokazatelstvo-vody/","","Доказательство воды","1","","","","45","0","12.1189 s","53kb","70","329","","59","","","https://s-t-o-l.com/novost/dokazatelstvo-vody/","25","217 kb","2","72","23","0"
"Питерских библиотекарей обязали участвовать в голосовании по Конституции - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/piterskih-bibliotekarej-obyazali-uchastvovat-v-golosovanii-po-konstitutsii/","","Питерских библиотекарей обязали участвовать в голосовании по Конституции","1","","","","98","0","11.3278 s","55kb","68","429","","58","","","https://s-t-o-l.com/novost/piterskih-bibliotekarej-obyazali-uchastvovat-v-golosovanii-po-konstitutsii/","24","206 kb","2","71","21","0"
"В Санкт-Петербурге не хватает коек для больных COVID-19 - Медиапроект s-t-o-l.com","https://s-t-o-l.com/novost/v-sankt-peterburge-ne-hvataet-koek-dlya-bolnyh-covid-19/","","В Санкт-Петербурге не хватает коек для больных COVID-19","1","","","","81","0","12.1137 s","53kb","68","303","","58","","","https://s-t-o-l.com/novost/v-sankt-peterburge-ne-hvataet-koek-dlya-bolnyh-covid-19/","24","206 kb","2","71","21","0"
